timestamp,x,y,angle,speed,lateral_offset,steering_input,acceleration_input,nearest_hazard_type,nearest_hazard_distance,target_path_x,target_path_y,current_path_segment
1747503026.200716,3028.8341947414738,1483.6458689780331,11.603954590165253,3.5,-17.87021885813033,1.715987511210841,0.0,plothole,54.59044100564588,2200.0,1500.0,4
1747503026.2155187,3031.9728541636637,1484.372886535661,13.041603865952721,3.356,-16.35413102196685,1.4376492757874644,-0.14400000000000013,plothole,55.71442260724381,2200.0,1500.0,4
1747503026.2314022,3034.9604098257864,1485.1361733468382,14.331841431842092,3.2119999999999997,-15.62711346433889,1.2902375658893561,-0.14400000000000013,plothole,56.877000599116485,2200.0,1500.0,4
1747503026.2477062,3037.798796773293,1485.9224518055446,15.483580317689688,3.0679999999999996,-14.863826653161823,1.1517388858476068,-0.14400000000000013,plothole,58.065301965487414,2200.0,1500.0,4
1747503026.263956,3040.4901577388323,1486.7199790557197,16.50606330964571,2.9239999999999995,-14.077548194455403,1.022482991956025,-0.14400000000000013,plothole,59.2673020024774,2200.0,1500.0,4
1747503026.2796214,3043.0367112886797,1487.5184516336826,17.40883103918601,2.7799999999999994,-13.280020944280295,0.9027677295403009,-0.14400000000000013,plothole,60.471815502306,2200.0,1500.0,4
1747503026.2955904,3045.4406488473196,1488.3089060142513,18.201719128309367,2.6359999999999992,-12.481548366317384,0.7928880891233518,-0.14400000000000013,plothole,61.668467512935166,2200.0,1500.0,4
1747503026.3117616,3047.704056929547,1489.083618112846,18.89488601692503,2.491999999999999,-11.691093985748694,0.6931668886156785,-0.14400000000000013,plothole,62.847651939216284,2200.0,1500.0,4
1747503026.329137,3049.828861030139,1489.8360037722705,19.49887538961809,2.347999999999999,-10.916381887154103,0.6039893726930643,-0.14400000000000013,plothole,64.00048425240199,2200.0,1500.0,4
1747503026.3450468,3051.93228877744,1490.6029880758144,20.03364788678991,2.194999999999999,-10.163996227729513,0.5347724971718151,-0.15300000000000002,plothole,65.18502256053804,2200.0,1500.0,4
1747503026.3617222,3053.7766568740462,1491.2922701703312,20.491853512102875,2.050999999999999,-9.397011924185563,0.4582056253129565,-0.14400000000000013,plothole,66.25871394100201,2200.0,1500.0,4
1747503026.377695,3055.58649677067,1491.9795988182061,20.795434000872095,1.8979999999999988,-8.707729829668779,0.30358048876922794,-0.15300000000000002,speedbreaker,64.91090997199049,2200.0,1500.0,4
1747503026.393915,3057.159536433985,1492.5803178567235,20.90106814555254,1.753999999999999,-8.020401181793886,0.10563414468043675,-0.1439999999999999,speedbreaker,63.276974835234554,2200.0,1500.0,4
1747503026.409537,3058.6039583662455,1493.1303402577269,20.846366668399547,1.609999999999999,-7.419682143276532,-0.054701477153003,-0.1439999999999999,speedbreaker,61.77917248772702,2200.0,1500.0,4
1747503026.4254937,3059.920834363482,1493.6268276971482,20.657402470941324,1.465999999999999,-6.869659742273143,-0.18896419745823323,-0.1439999999999999,speedbreaker,60.416251694242185,2200.0,1500.0,4
1747503026.4417946,3061.110672743234,1494.0683593545282,20.359155004084084,1.3219999999999992,-6.373172302851799,-0.2982474668572479,-0.1439999999999999,speedbreaker,59.187306286918584,2200.0,1500.0,4
1747503026.458349,3062.231319984371,1494.475691927902,19.97518054340284,1.1689999999999992,-5.931640645471816,-0.38397446068125873,-0.15300000000000002,speedbreaker,58.03221838275327,2200.0,1500.0,4
1747503026.474665,3063.1587544001964,1494.8045101213513,19.521759742722654,1.0249999999999992,-5.524308072097938,-0.45342080068019186,-0.1439999999999999,speedbreaker,57.07819475435727,2200.0,1500.0,4
1747503026.491219,3064.123033744363,1495.1370237998876,19.025795079584633,1.0,-5.1954898786486865,-0.495964663138011,-0.024999999999999245,speedbreaker,56.088179641136946,2200.0,1500.0,4
1747503026.5077863,3065.033478478843,1495.4414747572819,18.489835436048182,1.0,-4.862976200112371,-0.5359596435364438,0.0,speedbreaker,55.155223148169085,2200.0,1500.0,4
1747503026.5237198,3065.946881106869,1495.7369331115628,17.92483856114534,1.0,-4.558525242718133,-0.564996874902846,0.0,speedbreaker,54.220968281378305,2200.0,1500.0,4
1747503026.539681,3066.8632737893317,1496.022982847674,17.33562581338523,1.0,-4.263066888437152,-0.589212747760115,0.0,speedbreaker,53.28534824712525,2200.0,1500.0,4
1747503026.557378,3067.8975772163694,1496.3338146684678,16.72672421645043,1.0,-3.9770171523259705,-0.6089015969347997,0.0,speedbreaker,52.23124902593589,2200.0,1500.0,4
1747503026.573831,3068.8199586321743,1496.5999208949595,16.092804167427275,1.0,-3.6661853315322332,-0.6339200490231462,0.0,speedbreaker,51.292856932840834,2200.0,1500.0,4
1747503026.589689,3069.7452747591465,1496.8556357071332,15.448350307670964,1.0,-3.400079105040504,-0.644453859756311,0.0,speedbreaker,50.352998280538735,2200.0,1500.0,4
1747503026.6058238,3070.6734380696803,1497.1008149660013,14.796995643696562,1.0,-3.1443642928668396,-0.6513546639744163,0.0,speedbreaker,49.41168875607297,2200.0,1500.0,4
1747503026.6221843,3071.604343083748,1497.3353695540688,14.142106137970703,1.0,-2.8991850339987195,-0.6548895057258619,0.0,speedbreaker,48.468957733470475,2200.0,1500.0,4
1747503026.6375678,3072.5378698651684,1497.5592618236328,13.486786708363562,1.0,-2.6646304459311523,-0.6553194296071467,0.0,speedbreaker,47.52484613106352,2200.0,1500.0,4
1747503026.6538343,3073.4738872882576,1497.772502025455,12.83388754826207,1.0,-2.4407381763671765,-0.652899160101498,0.0,speedbreaker,46.579404368157796,2200.0,1500.0,4
1747503026.6753585,3074.7641443372986,1498.0511357409314,12.186010884872747,1.0,-2.227497974545031,-0.6478766633893258,0.0,speedbreaker,45.27781696854464,2200.0,1500.0,4
1747503026.6924288,3075.7635824050517,1498.2549090186842,11.523961200488522,1.0,-1.948864259068614,-0.6620496843842147,0.0,speedbreaker,44.27082542903082,2200.0,1500.0,4
1747503026.7100396,3076.765280359906,1498.4472659973487,10.870233865621167,1.0,-1.7450909813157978,-0.6537273348673693,0.0,speedbreaker,43.26259314050117,2200.0,1500.0,4
1747503026.728631,3077.8871675823048,1498.6496741498963,10.227145500351309,1.0,-1.5527340026512775,-0.6430883652698469,0.0,speedbreaker,42.13447560065678,2200.0,1500.0,4
1747503026.7462242,3078.8929111830507,1498.8196147558704,9.590684616967309,1.0,-1.3503258501036726,-0.6364608833839895,0.0,speedbreaker,41.124032637000894,2200.0,1500.0,4
1747503026.7647042,3080.0189710370432,1498.9973482789505,8.96937980795598,1.0,-1.1803852441296385,-0.6213048090113205,0.0,speedbreaker,39.993599330524276,2200.0,1500.0,4
1747503026.7814753,3081.0281340447764,1499.1456386151922,8.359440112459867,1.0,-1.0026517210494603,-0.6099396954961094,0.0,speedbreaker,38.981229706203074,2200.0,1500.0,4
1747503026.8002043,3082.0982231426115,1499.2916157459156,7.768103891699342,1.0,-0.8543613848078166,-0.5913362207605246,0.0,speedbreaker,37.90839613065565,2200.0,1500.0,4
1747503026.8155382,3083.050665544504,1499.411838335625,7.194145843569531,1.0,-0.7083842540844216,-0.5739580481298105,0.0,speedbreaker,36.95401535486405,2200.0,1500.0,4
1747503026.8337953,3084.1234142796275,1499.536778926675,6.64317861586354,1.0,-0.5881616643750931,-0.5509672277059963,0.0,speedbreaker,35.87957603866036,2200.0,1500.0,4
1747503026.8501565,3085.1376171310835,1499.6453725549356,6.111540095497331,1.0,-0.4632210733250304,-0.5316385203662151,0.0,speedbreaker,34.864186494506285,2200.0,1500.0,4
